Gene,aboral1,aboral2,aboral3,aboral4,oral1,oral2,oral3,oral4
ML000110a,69,175,141,139,108,146,133,63
ML000111a,0,0,0,0,0,1,0,0
ML000112a,1,10,8,3,2,13,6,1
ML000113a,383,546,402,471,290,190,282,317
ML000114a,188,214,257,230,289,215,162,128
ML000115a,493,455,540,501,413,403,419,452
ML000116a,404,462,464,362,516,336,285,336
ML000117a,266,361,301,273,396,277,239,277
ML000118a,177,158,162,153,164,131,107,136
ML000119a,382,339,362,295,254,310,259,308
ML00011a,37,26,33,29,24,46,34,26
ML000120a,227,225,250,141,333,241,130,169
ML000121a,385,294,398,213,385,351,188,270
ML000122a,352,336,336,283,442,300,245,276
ML000123a,1353,1232,1534,1162,1919,1272,976,1130
ML000124a,882,1694,1025,1001,979,834,655,849
ML000125a,5,0,1,0,30,16,9,12
ML000126a,295,306,244,231,237,208,214,253
ML000127a,490,810,854,923,451,619,708,412
ML000128a,0,0,0,0,0,0,0,0
ML000129a,397,207,133,124,373,240,284,367
ML00012a,240,598,418,37,264,468,625,259
ML000130a,32,56,22,42,49,40,34,67
ML000131a,26,62,66,58,69,23,56,50
ML000132a,308,850,686,840,2946,4839,4990,5979
ML00013a,89,154,127,63,80,45,63,103
ML00014a,0,0,0,0,0,0,0,0
ML00015a,1,0,2,0,1,1,4,3
ML00016a,469,619,573,505,1542,775,1094,917
ML00017a,52713,57824,59132,60254,59242,47001,48346,47841
ML00018a,32,8,21,1,65,22,10,46
ML00019a,122,401,312,266,297,271,273,107
ML00021a,148,163,182,157,280,156,105,118
ML00022a,186,154,218,182,188,169,147,149
ML00023a,357,492,472,515,349,428,435,503
ML000310a,626,645,804,675,674,412,337,475
ML000311a,951,891,892,863,769,780,524,606
ML000312a,242,223,262,233,238,273,182,236
ML000313a,1962,2071,2205,1672,3630,2049,1382,1730
ML000314a,4875,4087,4765,4996,3122,2269,2096,2356
ML000315a,22,26,14,10,14,7,7,7
ML000316a,1058,952,943,1022,802,743,572,615
ML000317a,0,0,0,0,0,0,0,0
ML00031a,288,337,522,437,161,183,328,212
ML00032a,0,0,0,0,0,0,0,0
ML00033a,297,441,539,468,378,227,269,305
ML00034a,429,483,419,281,320,403,226,387
ML00035a,128,164,136,64,113,101,43,104
ML00036a,204,200,200,116,188,114,110,170
ML00037a,0,0,0,0,0,0,0,0
ML00038a,227,187,361,242,497,254,166,185
ML00039a,0,0,0,0,0,0,0,0
ML00041a,125,174,172,185,100,101,129,122
ML00042a,0,0,2,1,0,2,1,0
ML00051a,32,153,74,61,31,16,13,17
ML00052a,351,1215,758,536,360,182,204,221
ML000610a,3,2,2,3,1,6,2,8
ML00061a,878,839,889,829,869,768,689,789
ML00062a,1857,1787,1972,1737,2901,1680,1332,1599
ML00063a,2034,2257,2348,2792,1170,1023,823,968
ML00064a,1,3,1,2,8,5,3,7
ML00065a,129,107,119,110,38,62,51,72
ML00066a,1949,2276,2608,2327,1232,1740,1793,2061
ML00067a,84,115,96,94,55,69,58,82
ML00068a,0,0,0,0,0,0,0,0
ML00069a,0,0,0,0,0,0,0,0
ML000710a,162,74,102,71,123,90,58,74
ML000711a,71,87,85,60,142,57,67,76
ML000712a,511,471,537,449,585,416,377,382
ML000713a,401,644,582,604,552,319,380,347
ML000714a,616,524,585,442,656,353,452,562
ML000715a,51,19,28,96,274,785,662,1134
ML000716a,572,533,763,519,600,519,297,427
ML000717a,864,737,750,629,626,677,543,635
ML000718a,0,0,0,0,0,0,0,0
ML000719a,3462,2546,3537,2662,3827,2944,2731,2842
ML00071a,15,27,37,22,16,29,11,21
ML000720a,2097,2938,2239,2129,1703,1255,1391,1409
ML00072a,3212,3547,3212,2977,3596,2733,2422,2213
ML00073a,439,605,670,582,142,275,345,318
ML00074a,1075,1330,1273,1104,1008,858,784,849
ML00075a,401,494,498,420,220,333,252,303
ML00076a,34,0,2,0,3,11,1,13
ML00077a,39,53,68,37,47,28,23,29
ML00078a,0,0,0,0,0,0,0,0
ML00079a,517,229,327,279,383,373,201,280
ML00081a,279,345,276,149,208,296,190,228
ML00082a,88,62,142,181,163,91,159,63
ML00083a,1,1,2,3,34,33,32,44
ML00084a,180,270,263,255,268,213,254,205
ML00085a,1,0,0,2,35,52,106,29
ML00086a,774,792,907,737,796,715,662,873
ML00087a,0,0,0,0,0,0,0,0
ML00088a,0,0,0,0,0,0,0,0
ML00089a,217,236,116,139,281,170,112,210
ML00091a,16,5,6,20,9,18,8,12
ML001010a,678,622,659,529,858,568,494,564
ML001011a,19,18,39,1,2,11,0,9
ML00101a,157,226,174,164,235,149,160,127
ML00102a,672,7,144,0,536,322,24,220
ML00103a,0,0,0,0,0,0,0,0
ML00104a,330,229,269,264,250,244,134,197
ML00105a,549,513,458,495,536,408,393,444
ML00106a,2,11,0,9,8,11,5,4
ML00107a,487,506,546,523,513,510,328,336
ML00108a,1523,1493,1844,1313,1991,1208,1092,1275
ML00109a,902,874,998,803,704,588,478,670
ML001110a,17151,17236,17159,18129,14732,12573,11963,11931
ML001111a,0,0,0,0,0,0,0,0
ML001112a,2044,1553,1861,1640,1614,1153,747,1145
ML001113a,1,0,1,0,0,0,0,0
ML001114a,0,0,0,0,0,0,1,0
ML001115a,58,121,77,95,77,30,65,62
ML001116a,0,1,0,1,8,11,13,15
ML001117a,5,3,1,1,18,14,8,16
ML001118a,868,1284,1112,1096,974,725,696,675
ML001119a,722,761,934,730,1686,832,991,816
ML00111a,83,107,131,112,114,124,82,85
ML001120a,0,0,0,0,0,0,0,0
ML001121a,0,0,0,0,1,2,0,0
ML001122a,140,112,92,101,136,127,79,102
ML001123a,422,513,518,435,441,359,340,372
ML001124a,0,0,0,0,0,0,0,0
ML001125a,1097,1128,1300,1226,870,958,897,895
ML001126a,1465,1557,1489,1392,1690,1258,1230,1267
ML001127a,467,643,470,419,446,394,382,420
ML001128a,255,256,271,205,343,267,208,219
ML00112a,33,43,93,37,78,71,51,54
ML00113a,84,144,91,121,89,65,92,98
ML00114a,77,105,97,52,125,223,275,210
ML00115a,206,284,284,298,304,215,188,199
ML00116a,890,671,644,585,494,846,617,940
ML00117a,858,577,672,574,551,814,464,528
ML00118a,0,1,0,0,0,0,3,1
ML00119a,0,1,0,0,0,0,0,0
ML00121a,611,584,508,522,527,565,570,562
ML00122a,1,0,0,0,0,0,0,0
ML00123a,104,160,106,123,127,94,137,112
ML00124a,850,1053,1041,1062,895,647,703,773
ML00125a,702,465,555,497,747,437,362,439
ML00126a,0,0,0,0,0,0,0,0
ML00131a,0,0,0,0,0,2,1,0
ML00132a,18,18,13,6,26,11,10,12
ML00133a,2,0,1,0,1,2,0,1
ML00134a,140,189,217,128,286,173,139,199
ML00141a,116,146,120,93,190,131,69,110
ML00142a,287,166,228,247,350,302,245,237
ML00143a,1670,1745,1598,1596,882,1541,1635,1570
ML001510a,1486,1449,1509,1615,1160,1073,1279,1203
ML001511a,345,324,453,334,386,376,238,282
ML001512a,591,685,569,574,467,458,364,424
ML001513a,121,151,136,98,157,124,103,119
ML001514a,152,219,264,179,283,187,164,197
ML001515a,41,20,35,20,37,19,19,33
ML001516a,160,145,154,196,70,112,94,123
ML001517a,438,392,422,410,380,315,312,300
ML001518a,199,219,196,215,200,215,148,188
ML001519a,87,47,70,44,92,60,48,61
ML00151a,484,159,432,320,653,393,375,372
ML001520b,323,649,536,600,756,420,636,560
ML001521a,15,22,36,21,28,21,21,30
ML001522a,129,116,112,108,97,103,82,85
ML001523a,542,530,568,491,591,451,420,396
ML001524a,1,1,1,4,2,3,3,0
ML001525a,435,633,652,513,653,419,535,494
ML001526a,0,0,8,0,10,20,15,11
